"","species"
"1","Abiotrophia defectiva"
"2","Achromobacter xylosoxidans"
"3","Acinetobacter baumannii"
"4","Actinomadura madurae"
"5","Actinomyces israelii"
"6","Actinotignum schaalii"
"7","Aerococcus sanguinicola"
"8","Aerococcus urinae"
"9","Aeromonas caviae"
"10","Aeromonas hydrophila"
"11","Aeromonas veronii"
"12","Aggregatibacter actinomycetemcomitans"
"13","Aggregatibacter aphrophilus"
"14","Agrobacterium tumefaciens"
"15","Aliarcobacter butzleri"
"16","Anaerococcus prevotii"
"17","Anaplasma phagocytophilum"
"18","Arcanobacterium haemolyticum"
"19","Aspergillus flavus"
"20","Aspergillus fumigatus"
"21","Aspergillus nidulans"
"22","Bacillus anthracis"
"23","Bacillus cereus"
"24","Bacillus licheniformis"
"25","Bartonella bacilliformis"
"26","Bartonella clarridgeiae"
"27","Bartonella elizabethae"
"28","Bartonella grahamii"
"29","Bartonella henselae"
"30","Bartonella quintana"
"31","Bordetella bronchiseptica"
"32","Borrelia hermsii"
"33","Borrelia miyamotoi"
"34","Borreliella burgdorferi"
"35","Borreliella mayonii"
"36","Brachyspira hyodysenteriae"
"37","Brevibacillus brevis"
"38","Burkholderia cenocepacia"
"39","Burkholderia cepacia"
"40","Burkholderia pseudomallei"
"41","Campylobacter coli"
"42","Campylobacter curvus"
"43","Campylobacter fetus"
"44","Campylobacter jejuni"
"45","Campylobacter lari"
"46","Candida albicans"
"47","Candida dubliniensis"
"48","Cardiobacterium hominis"
"49","Chlamydia pneumoniae"
"50","Chlamydia psittaci"
"51","Chlamydia trachomatis"
"52","Citrobacter freundii"
"53","Clostridioides difficile"
"54","Clostridium botulinum"
"55","Clostridium perfringens"
"56","Clostridium septicum"
"57","Clostridium tetani"
"58","Corynebacterium diphtheriae"
"59","Corynebacterium minutissimum"
"60","Corynebacterium striatum"
"61","Corynebacterium ulcerans"
"62","Coxiella burnetii"
"63","Cronobacter sakazakii"
"64","Cryptococcus gattii"
"65","Cryptococcus neoformans"
"66","Edwardsiella tarda"
"67","Ehrlichia chaffeensis"
"68","Ehrlichia muris"
"69","Eikenella corrodens"
"70","Elizabethkingia anophelis"
"71","Elizabethkingia meningoseptica"
"72","Enterobacter cloacae"
"73","Enterococcus avium"
"74","Enterococcus faecalis"
"75","Enterococcus faecium"
"76","Enterococcus gallinarum"
"77","Erysipelothrix rhusiopathiae"
"78","Escherichia coli"
"79","Finegoldia magna"
"80","Francisella tularensis"
"81","Fusarium fujikuroi"
"82","Fusarium oxysporum"
"83","Fusobacterium necrophorum"
"84","Fusobacterium nucleatum"
"85","Gardnerella vaginalis"
"86","Haemophilus influenzae"
"87","Haemophilus parainfluenzae"
"88","Helicobacter pylori"
"89","Kingella denitrificans"
"90","Kingella kingae"
"91","Klebsiella aerogenes"
"92","Klebsiella oxytoca"
"93","Klebsiella pneumoniae"
"94","Legionella micdadei"
"95","Legionella pneumophila"
"96","Leptospira borgpetersenii"
"97","Leptospira interrogans"
"98","Leptospira kirschneri"
"99","Leptospira kmetyi"
"100","Leptospira mayottensis"
"101","Leptospira noguchii"
"102","Leptospira santarosai"
"103","Leptospira weilii"
"104","Listeria monocytogenes"
"105","Malacoplasma penetrans"
"106","Metamycoplasma hominis"
"107","Metamycoplasma salivarium"
