"","genus"
"1","Abiotrophia"
"2","Achromobacter"
"3","Acinetobacter"
"4","Actinomadura"
"5","Actinomyces"
"6","Actinotignum"
"7","Aerococcus"
"8","Aeromonas"
"9","Aggregatibacter"
"10","Agrobacterium"
"11","Aliarcobacter"
"12","Anaerococcus"
"13","Anaplasma"
"14","Arcanobacterium"
"15","Aspergillus"
"16","Bacillus"
"17","Bartonella"
"18","Bordetella"
"19","Brachyspira"
"20","Brevibacillus"
"21","Brucella"
"22","Burkholderia"
"23","Campylobacter"
"24","Candida"
"25","Candida/Metschnikowiaceae"
"26","Cardiobacterium"
"27","Chlamydia"
"28","Citrobacter"
"29","Clostridioides"
"30","Clostridium"
"31","Corynebacterium"
"32","Coxiella"
"33","Cronobacter"
"34","Cryptococcus"
"35","Edwardsiella"
"36","Ehrlichia"
"37","Eikenella"
"38","Elizabethkingia"
"39","Enterobacter"
"40","Enterococcus"
"41","Erysipelothrix"
"42","Escherichia"
"43","Finegoldia"
"44","Francisella"
"45","Fusarium"
"46","Fusobacterium"
"47","Haemophilus"
"48","Helicobacter"
"49","Kingella"
"50","Klebsiella"
"51","Legionella"
"52","Leptospira"
"53","Listeria"
"54","Metamycoplasma"
"55","Methylorubrum"
"56","Moraxella"
"57","Morganella"
"58","Mycobacterium"
"59","Mycobacteroides"
"60","Mycolicibacter"
"61","Mycolicibacterium"
"62","Mycoplasmopsis"
"63","Nakaseomyces"
"64","Neisseria"
"65","Nocardia"
"66","Orientia"
"67","Paraclostridium"
"68","Parvimonas"
"69","Pasteurella"
"70","Peptoniphilus"
"71","Photobacterium"
"72","Pichia"
"73","Plesiomonas"
"74","Porphyromonas"
"75","Prescottella"
"76","Prevotella"
"77","Proteus"
"78","Providencia"
"79","Pseudomonas"
"80","Ralstonia"
"81","Rickettsia"
"82","Rothia"
"83","Saccharomyces"
"84","Salmonella"
"85","Serratia"
"86","Shewanella"
"87","Staphylococcus"
"88","Stenotrophomonas"
"89","Streptobacillus"
"90","Streptococcus"
"91","Talaromyces"
"92","Tannerella"
"93","Treponema"
"94","Trueperella"
"95","Vibrio"
"96","Yersinia"
